subject,SupraTentorialVol,cort_surf,densityLH,densityRH
aotus,11185.005587,3857,0.571428571428571,0.560816326530612
cebus,59497.640256,16376,0.302857142857143,0.307755102040816
colobus,66956.370557,18430,0.411428571428571,0.41469387755102
galago,2568.910793,1088,0.523265306122449,0.49469387755102
lagothrix,69062.287374,19555,0.342040816326531,0.337142857142857
lophocebus,87985.313128,20005,0.382857142857143,0.401632653061224
pithecia,23506.638062,7262,0.471836734693878,0.489795918367347
macaque,68794.7179554,16690.9333333333,0.356106750392465,0.344238618524333
chimpanzee,278913.689123862,57867.4137931034,0.309955634427684,0.301721384205856
human,904666.752849569,155520.310344828,0.368255679630343,0.367793608009241
bonobo,258753.4131405,60011.25,0.348571428571429,0.288979591836735
gorilla,308046.327597,65886.6666666667,0.32,0.300408163265306
orangutan,310504.3309785,65489.8333333333,0.376326530612245,0.386938775510204
