subject,SupraTentorialVol,cort_surf,Lnorm,Cnorm
aotus,11185.005587,3857,1.02811078633371,1.28132955679427
cebus,59497.640256,16376,1.07856804798501,1.59143859492103
colobus,66956.370557,18430,1.0420541637111,1.39898450437649
galago,2568.910793,1088,1.00539919586445,1.08443394964121
lagothrix,69062.287374,19555,1.06853252556648,1.64874725242556
lophocebus,87985.313128,20005,1.04884647624911,1.36491271231917
pithecia,23506.638062,7262,1.03437782404772,1.23712888693471
macaque,68794.7179554,16690.9333333333,1.08185705422153,1.32726601125022
chimpanzee,278913.689123862,57867.4137931034,1.08256417133147,1.60824731117465
human,904666.752849569,155520.310344828,1.05497658256413,1.43887630610351
bonobo,258753.4131405,60011.25,1.0867149671588,1.67634689910707
gorilla,308046.327597,65886.6666666667,1.06486661211368,1.62319185145669
orangutan,310504.3309785,65489.8333333333,1.07816188684571,1.58521058275588
