subject,SupraTentorialVol,cort_surf,conn_asymmetry
aotus,11185.005587,3857,0.204493506493507
cebus,59497.640256,16376,0.250214162507001
colobus,66956.370557,18430,0.243753246753247
galago,2568.910793,1088,0.276190192848088
lagothrix,69062.287374,19555,0.228752109002109
lophocebus,87985.313128,20005,0.234046509046509
pithecia,23506.638062,7262,0.235385331988273
macaque,68794.7179554,16690.9333333333,0.372159439351617
chimpanzee,278913.689123862,57867.4137931034,0.302752980048175
human,904666.752849569,155520.310344828,0.315937035691352
bonobo,258753.4131405,60011.25,0.289125229345818
gorilla,308046.327597,65886.6666666667,0.319274466890179
orangutan,310504.3309785,65489.8333333333,0.385333624708625
